iter	Passed	Remaining
409	4299	6187
410	4309	6176
411	4319	6164
412	4328	6152
413	4338	6140
414	4346	6127
415	4355	6114
416	4364	6101
417	4373	6089
418	4381	6076
419	4390	6062
420	4399	6050
421	4409	6038
422	4417	6025
423	4427	6015
424	4436	6002
425	4444	5988
426	4454	5976
427	4463	5964
428	4471	5951
429	4479	5938
430	4489	5926
431	4497	5913
432	4506	5900
433	4515	5888
434	4524	5876
435	4533	5864
436	4541	5850
437	4549	5838
438	4558	5825
439	4567	5813
440	4576	5801
441	4585	5789
442	4594	5777
443	4603	5765
444	4612	5752
445	4621	5740
446	4630	5729
447	4639	5716
448	4648	5704
449	4657	5691
450	4665	5679
451	4674	5667
452	4682	5654
453	4692	5643
454	4702	5632
455	4711	5621
456	4722	5610
457	4731	5599
458	4740	5587
459	4750	5576
460	4759	5564
461	4768	5553
462	4776	5540
463	4785	5528
464	4794	5515
465	4803	5503
466	4811	5491
467	4819	5479
468	4829	5467
469	4837	5455
470	4847	5444
471	4856	5433
472	4865	5421
473	4874	5408
474	4882	5395
475	4890	5383
476	4899	5371
477	4907	5359
478	4917	5348
479	4926	5336
480	4934	5324
481	4942	5311
482	4951	5299
483	4959	5287
484	4967	5274
485	4975	5262
486	4983	5249
487	4992	5238
488	5000	5225
489	5009	5213
490	5017	5201
491	5026	5189
492	5034	5177
493	5042	5164
494	5050	5152
495	5059	5140
496	5068	5129
497	5076	5117
498	5085	5105
499	5093	5093
500	5101	5081
501	5109	5069
502	5118	5057
503	5126	5045
504	5134	5033
505	5142	5021
506	5150	5008
507	5158	4996
508	5167	4984
509	5175	4972
510	5183	4960
511	5192	4948
512	5200	4937
513	5209	4925
514	5217	4913
515	5225	4901
516	5235	4890
517	5244	4879
518	5253	4868
519	5261	4856
520	5269	4844
521	5277	4832
522	5285	4820
523	5293	4808
524	5302	4797
525	5310	4785
526	5318	4773
527	5326	4761
528	5335	4750
529	5347	4741
530	5364	4738
531	5387	4739
532	5409	4740
533	5430	4738
534	5454	4740
535	5475	4739
536	5498	4740
537	5520	4740
538	5546	4743
539	5570	4745
540	5596	4747
541	5620	4749
542	5656	4760
543	5683	4764
544	5709	4766
545	5732	4766
546	5759	4770
547	5782	4769
548	5807	4771
549	5829	4769
550	5851	4768
551	5878	4771
552	5904	4772
553	5930	4774
554	5961	4780
555	5992	4784
556	6020	4788
557	6049	4791
558	6088	4803
559	6117	4806
560	6143	4807
561	6176	4813
562	6201	4813
563	6230	4816
564	6254	4815
565	6280	4815
566	6304	4814
567	6325	4810
568	6346	4806
569	6368	4804
570	6391	4802
571	6412	4798
572	6437	4797
573	6461	4795
574	6496	4801
575	6520	4799
576	6541	4795
577	6564	4792
578	6588	4790
579	6612	4788
580	6635	4785
581	6660	4784
582	6690	4785
583	6716	4784
584	6740	4781
585	6776	4787
586	6807	4789
587	6833	4787
588	6913	4823
589	7022	4879
590	7104	4916
591	7174	4944
592	7246	4973
593	7287	4981
594	7323	4984
595	7358	4987
596	7385	4985
597	7422	4989
598	7469	5000
599	7524	5016
600	7566	5023
601	7606	5029
602	7640	5030
603	7682	5036
604	7720	5040
605	7747	5037
